question,rag_overall_score,baseline_overall_score,rag_factuality,baseline_factuality,rag_completeness,baseline_completeness,rag_faithfulness,baseline_faithfulness,rag_safety,baseline_safety,rag_sql_valid,baseline_sql_valid,rag_execution_success,baseline_execution_success,rag_sources_count,improvement,csv_file
Which salesperson has the highest average sales value?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
What is the total sales value by salesperson for the month of January?,0.465,0.44,0.3,0.3,0.3,0.3,0.4,0.3,1.0,1.0,True,True,False,False,5,0.025000000000000022,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which salesperson has the highest total sales value for the period?,0.465,0.1,0.3,0.1,0.3,0.1,0.4,0.1,1.0,1.0,True,False,False,False,4,0.365,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which sales person has the highest total sales value for each product?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which salesperson has the highest total sales value?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
What is the total sales value for each salesperson?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which salesperson has sold the most items of each product?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which salesperson has the highest sales value for electronics?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which salesperson had the highest total sales value in the electronics category?,0.465,0.44,0.3,0.3,0.3,0.3,0.4,0.3,1.0,1.0,True,True,False,False,5,0.025000000000000022,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
Which sales person has the highest total sales value for the electronics products?,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.1,1.0,1.0,False,False,False,False,0,0.0,C:\Users\ahmed\Downloads\SMARTSTOCK-NLP\nlpp\data\SalesCSV.csv
